Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,June 2008,West South Central,United States,400
Road,June 2008,Mountain,United States,300
Road,June 2008,Pacific,United States,400
Road,June 2008,Overseas,Overseas,0
Air,July 2008,Atlantic Canada,Canada,"6,400"
Air,July 2008,Quebec,Canada,"3,400"
Air,July 2008,Ontario,Canada,"24,800"
Air,July 2008,Western Canada,Canada,"16,300"
Air,July 2008,New England (inc Maine),United States,"1,400"
Air,July 2008,Middle Atlantic,United States,"2,100"
Air,July 2008,East North Central,United States,"1,300"
Air,July 2008,West North Central,United States,900
Air,July 2008,South Atlantic,United States,"3,000"
Air,July 2008,East South Central,United States,500
Air,July 2008,West South Central,United States,900
Air,July 2008,Mountain,United States,800
Air,July 2008,Pacific,United States,"1,800"
Air,July 2008,United Kingdom,Overseas,"3,100"
Air,July 2008,Germany,Overseas,"1,200"
Air,July 2008,Other Europe,Overseas,"2,600"
Air,July 2008,Other Overseas,Overseas,"2,600"
Road,July 2008,Atlantic Canada,Canada,"112,700"
Road,July 2008,Quebec,Canada,"13,700"
Road,July 2008,Ontario,Canada,"46,900"
Road,July 2008,Western Canada,Canada,"3,800"
Road,July 2008,Maine (by road only),United States,"2,700"
Road,July 2008,Other New England,United States,"7,900"
Road,July 2008,Middle Atlantic,United States,"4,600"
Road,July 2008,East North Central,United States,"1,600"
Road,July 2008,West North Central,United States,600
Road,July 2008,South Atlantic,United States,"3,800"
Road,July 2008,East South Central,United States,200
Road,July 2008,West South Central,United States,400
Road,July 2008,Mountain,United States,600
Road,July 2008,Pacific,United States,600
Road,July 2008,Overseas,Overseas,0
Air,August 2008,Atlantic Canada,Canada,"8,300"
Air,August 2008,Quebec,Canada,"4,800"
Air,August 2008,Ontario,Canada,"36,700"
Air,August 2008,Western Canada,Canada,"28,200"
Air,August 2008,New England (inc Maine),United States,"1,300"
Air,August 2008,Middle Atlantic,United States,"3,200"
Air,August 2008,East North Central,United States,"2,200"
Air,August 2008,West North Central,United States,"1,000"
Air,August 2008,South Atlantic,United States,"4,100"
Air,August 2008,East South Central,United States,600
Air,August 2008,West South Central,United States,"1,500"
Air,August 2008,Mountain,United States,"1,100"
Air,August 2008,Pacific,United States,"2,400"
Air,August 2008,United Kingdom,Overseas,"5,000"
Air,August 2008,Germany,Overseas,"2,100"
Air,August 2008,Other Europe,Overseas,"3,000"
Air,August 2008,Other Overseas,Overseas,"3,800"
Road,August 2008,Atlantic Canada,Canada,"127,400"
Road,August 2008,Quebec,Canada,"16,200"
Road,August 2008,Ontario,Canada,"53,700"
Road,August 2008,Western Canada,Canada,"3,500"
Road,August 2008,Maine (by road only),United States,"2,800"
Road,November 2008,Quebec,Canada,"1,400"
Road,August 2008,Other New England,United States,"9,600"
Road,August 2008,Middle Atlantic,United States,"5,900"
Road,August 2008,East North Central,United States,"1,500"
Road,August 2008,West North Central,United States,500
Road,August 2008,South Atlantic,United States,"3,400"
Road,August 2008,East South Central,United States,300
Road,August 2008,West South Central,United States,500
Road,August 2008,Mountain,United States,400
Road,August 2008,Pacific,United States,500
Road,August 2008,Overseas,Overseas,0
Air,September 2008,Atlantic Canada,Canada,"7,800"
Air,September 2008,Quebec,Canada,"4,000"
Air,September 2008,Ontario,Canada,"22,800"
Air,September 2008,Western Canada,Canada,"17,600"
Air,September 2008,New England (inc Maine),United States,"1,300"
Air,September 2008,Middle Atlantic,United States,"1,600"
Air,September 2008,East North Central,United States,"1,300"
Air,September 2008,West North Central,United States,400
Air,September 2008,South Atlantic,United States,"2,500"
Air,September 2008,East South Central,United States,400
Air,September 2008,West South Central,United States,"1,000"
Air,September 2008,Mountain,United States,"1,000"
Air,September 2008,Pacific,United States,"1,700"
Air,September 2008,United Kingdom,Overseas,"4,200"
Air,September 2008,Germany,Overseas,"1,300"
Air,September 2008,Other Europe,Overseas,"2,400"
Air,September 2008,Other Overseas,Overseas,"2,600"
Road,September 2008,Atlantic Canada,Canada,"96,400"
Road,September 2008,Quebec,Canada,"6,600"
Road,September 2008,Ontario,Canada,"20,600"
Road,September 2008,Western Canada,Canada,"3,600"
Road,September 2008,Maine (by road only),United States,"2,200"
Road,September 2008,Other New England,United States,"5,400"
Road,September 2008,Middle Atlantic,United States,"3,500"
Road,September 2008,East North Central,United States,"1,600"
Road,September 2008,West North Central,United States,500
Road,September 2008,South Atlantic,United States,"2,700"
Road,September 2008,East South Central,United States,600
Road,September 2008,West South Central,United States,500
Road,September 2008,Mountain,United States,400
Road,September 2008,Pacific,United States,400
Road,September 2008,Overseas,Overseas,0
Air,October 2008,Atlantic Canada,Canada,"7,300"
Air,October 2008,Quebec,Canada,"3,900"
Air,October 2008,Ontario,Canada,"21,900"
Air,October 2008,Western Canada,Canada,"13,800"
Air,October 2008,New England (inc Maine),United States,"1,000"
Air,October 2008,Middle Atlantic,United States,"1,200"
Air,October 2008,East North Central,United States,900
Air,October 2008,West North Central,United States,300
Air,October 2008,South Atlantic,United States,"1,800"
Air,October 2008,East South Central,United States,200
Air,October 2008,West South Central,United States,500
Air,October 2008,Mountain,United States,400
Air,October 2008,Pacific,United States,"1,500"
Air,October 2008,United Kingdom,Overseas,"2,500"
Air,October 2008,Germany,Overseas,"1,800"
Air,October 2008,Other Europe,Overseas,"1,200"
Air,October 2008,Other Overseas,Overseas,"1,800"
Road,October 2008,Atlantic Canada,Canada,"98,200"
Road,October 2008,Quebec,Canada,"3,800"
Road,October 2008,Ontario,Canada,"12,000"
Road,October 2008,Western Canada,Canada,"1,700"
Road,October 2008,Maine (by road only),United States,"1,300"
Road,October 2008,Other New England,United States,"2,600"
Road,October 2008,Middle Atlantic,United States,"1,600"
Road,October 2008,East North Central,United States,900
Road,October 2008,West North Central,United States,200
Road,October 2008,South Atlantic,United States,800
Road,October 2008,East South Central,United States,100
Road,October 2008,West South Central,United States,200
Road,October 2008,Mountain,United States,200
Road,October 2008,Pacific,United States,300
Road,October 2008,Overseas,Overseas,0
Air,November 2008,Atlantic Canada,Canada,"7,500"
Air,November 2008,Quebec,Canada,"2,800"
Air,November 2008,Ontario,Canada,"13,700"
Air,November 2008,Western Canada,Canada,"5,000"
Air,November 2008,New England (inc Maine),United States,800
Air,November 2008,Middle Atlantic,United States,700
Air,November 2008,East North Central,United States,500
Air,November 2008,West North Central,United States,200
Air,November 2008,South Atlantic,United States,700
Air,November 2008,East South Central,United States,0
Air,November 2008,West South Central,United States,300
Air,November 2008,Mountain,United States,300
Air,November 2008,Pacific,United States,300
Air,November 2008,United Kingdom,Overseas,500
Air,November 2008,Germany,Overseas,300
Air,November 2008,Other Europe,Overseas,500
Air,November 2008,Other Overseas,Overseas,"1,100"
Road,November 2008,Atlantic Canada,Canada,"79,100"
Road,November 2008,Ontario,Canada,"4,200"
Road,November 2008,Western Canada,Canada,700
Road,November 2008,Maine (by road only),United States,700
Road,November 2008,Other New England,United States,900
Road,November 2008,Middle Atlantic,United States,300
Road,November 2008,East North Central,United States,100
Road,November 2008,West North Central,United States,0
Road,November 2008,South Atlantic,United States,100
Road,November 2008,East South Central,United States,0
Road,November 2008,West South Central,United States,0
Road,November 2008,Mountain,United States,0
Road,November 2008,Pacific,United States,0
Road,November 2008,Overseas,Overseas,0
Air,December 2008,Atlantic Canada,Canada,"7,100"
Air,December 2008,Quebec,Canada,"1,800"
Air,December 2008,Ontario,Canada,"10,300"
Air,December 2008,Western Canada,Canada,"5,300"
Air,December 2008,New England (inc Maine),United States,700
Air,December 2008,Middle Atlantic,United States,"1,000"
Air,December 2008,East North Central,United States,700
Air,December 2008,West North Central,United States,100
Air,December 2008,South Atlantic,United States,"1,200"
Air,December 2008,East South Central,United States,100
Air,December 2008,West South Central,United States,400
Air,December 2008,Mountain,United States,300
Air,December 2008,Pacific,United States,400
Air,December 2008,United Kingdom,Overseas,600
Air,December 2008,Germany,Overseas,200
Air,December 2008,Other Europe,Overseas,800
Air,December 2008,Other Overseas,Overseas,"1,100"
Road,December 2008,Atlantic Canada,Canada,"71,700"
Road,December 2008,Quebec,Canada,"1,100"
Road,December 2008,Ontario,Canada,"4,000"
Road,December 2008,Western Canada,Canada,500
Road,December 2008,Maine (by road only),United States,400
Road,December 2008,Other New England,United States,700
Road,December 2008,Middle Atlantic,United States,200
Road,December 2008,East North Central,United States,0
Road,December 2008,West North Central,United States,0
Road,December 2008,South Atlantic,United States,100
Road,December 2008,East South Central,United States,0
Road,December 2008,West South Central,United States,0
Road,December 2008,Mountain,United States,0
Road,December 2008,Pacific,United States,0
Road,December 2008,Overseas,Overseas,0
Air,January 2009,Atlantic Canada,Canada,"7,400"
Air,January 2009,Quebec,Canada,"2,800"
Air,January 2009,Ontario,Canada,"15,000"
Air,January 2009,Western Canada,Canada,"9,200"
Air,January 2009,New England (inc Maine),United States,500
Air,January 2009,Middle Atlantic,United States,400
Air,January 2009,East North Central,United States,300
Air,January 2009,West North Central,United States,100
Air,January 2009,South Atlantic,United States,900
Air,January 2009,East South Central,United States,100
Air,January 2009,West South Central,United States,300
Air,January 2009,Mountain,United States,200
Air,January 2009,Pacific,United States,100
Air,January 2009,United Kingdom,Overseas,800
Air,January 2009,Germany,Overseas,200
Air,January 2009,Other Europe,Overseas,700
Air,January 2009,Other Overseas,Overseas,"1,500"
Road,January 2009,Atlantic Canada,Canada,"58,400"
Road,January 2009,Quebec,Canada,500
Road,January 2009,Ontario,Canada,"1,700"
Road,January 2009,Western Canada,Canada,300
Road,January 2009,Maine (by road only),United States,300
Road,January 2009,Other New England,United States,300
Road,January 2009,Middle Atlantic,United States,100
Road,January 2009,East North Central,United States,0
Road,January 2009,West North Central,United States,0
Road,January 2009,South Atlantic,United States,0
Road,January 2009,East South Central,United States,0
Road,January 2009,West South Central,United States,0
Road,January 2009,Mountain,United States,0
Road,January 2009,Pacific,United States,0
Road,January 2009,Overseas,Overseas,0
Air,February 2009,Atlantic Canada,Canada,"6,800"
Air,February 2009,Quebec,Canada,"2,500"
Air,February 2009,Ontario,Canada,"9,400"
Air,February 2009,Western Canada,Canada,"3,500"
Air,February 2009,New England (inc Maine),United States,300
Air,February 2009,Middle Atlantic,United States,500
Air,February 2009,East North Central,United States,200
Air,February 2009,West North Central,United States,0
Air,February 2009,South Atlantic,United States,400
Air,February 2009,East South Central,United States,0
Air,February 2009,West South Central,United States,0
Air,February 2009,Mountain,United States,0
Air,February 2009,Pacific,United States,200
Air,February 2009,United Kingdom,Overseas,600
Air,February 2009,Germany,Overseas,100
Air,February 2009,Other Europe,Overseas,500
Air,February 2009,Other Overseas,Overseas,600
Road,February 2009,Atlantic Canada,Canada,"59,300"
Road,February 2009,Quebec,Canada,800
Road,February 2009,Ontario,Canada,"1,800"
Road,February 2009,Western Canada,Canada,300
Road,February 2009,Maine (by road only),United States,300
Road,February 2009,Other New England,United States,300
Road,February 2009,Middle Atlantic,United States,100
Road,February 2009,East North Central,United States,0
Road,February 2009,West North Central,United States,0
Road,February 2009,South Atlantic,United States,0
Road,February 2009,East South Central,United States,0
Road,February 2009,West South Central,United States,0
Road,February 2009,Mountain,United States,0
Road,February 2009,Pacific,United States,0
Road,February 2009,Overseas,Overseas,0
Air,March 2009,Atlantic Canada,Canada,"7,000"
Air,March 2009,Quebec,Canada,"1,800"
Air,March 2009,Ontario,Canada,"9,600"
Air,March 2009,Western Canada,Canada,"4,900"
Air,March 2009,New England (inc Maine),United States,300
Air,March 2009,Middle Atlantic,United States,300
Air,March 2009,East North Central,United States,100
Air,March 2009,West North Central,United States,0
Air,March 2009,South Atlantic,United States,500
Air,March 2009,East South Central,United States,100
Air,March 2009,West South Central,United States,100
Air,March 2009,Mountain,United States,100
Air,March 2009,Pacific,United States,200
Air,March 2009,United Kingdom,Overseas,700
Air,March 2009,Germany,Overseas,200
Air,March 2009,Other Europe,Overseas,300
Air,March 2009,Other Overseas,Overseas,300
Road,March 2009,Atlantic Canada,Canada,"71,200"
Road,March 2009,Quebec,Canada,"1,000"
Road,March 2009,Ontario,Canada,"3,500"
Road,March 2009,Western Canada,Canada,500
Road,March 2009,Maine (by road only),United States,400
Road,March 2009,Other New England,United States,700
Road,March 2009,Middle Atlantic,United States,200
Road,March 2009,East North Central,United States,100
Road,March 2009,West North Central,United States,0
Road,March 2009,South Atlantic,United States,100
Road,March 2009,East South Central,United States,0
Road,March 2009,West South Central,United States,0
Road,March 2009,Mountain,United States,0
Road,March 2009,Pacific,United States,0
Road,March 2009,Overseas,Overseas,0
Air,April 2009,Atlantic Canada,Canada,"6,200"
Air,April 2009,Quebec,Canada,"3,100"
Air,April 2009,Ontario,Canada,"13,500"
Air,April 2009,Western Canada,Canada,"4,200"
Air,April 2009,New England (inc Maine),United States,600
Air,April 2009,Middle Atlantic,United States,600
Air,April 2009,East North Central,United States,300
Air,April 2009,West North Central,United States,100
Air,April 2009,South Atlantic,United States,600
Air,April 2009,East South Central,United States,0
Air,April 2009,West South Central,United States,200
Air,April 2009,Mountain,United States,100
Air,April 2009,Pacific,United States,300
Air,April 2009,United Kingdom,Overseas,900
Air,April 2009,Germany,Overseas,200
Air,April 2009,Other Europe,Overseas,900
Air,April 2009,Other Overseas,Overseas,500
Road,April 2009,Atlantic Canada,Canada,"81,200"
Road,April 2009,Quebec,Canada,"1,800"
Road,April 2009,Ontario,Canada,"6,100"
Road,April 2009,Western Canada,Canada,900
Road,April 2009,Maine (by road only),United States,600
Road,April 2009,Other New England,United States,900
Road,April 2009,Middle Atlantic,United States,300
Road,April 2009,East North Central,United States,100
Road,April 2009,West North Central,United States,0
Road,April 2009,South Atlantic,United States,200
Road,April 2009,East South Central,United States,0
Road,April 2009,West South Central,United States,0
Road,April 2009,Mountain,United States,100
Road,April 2009,Pacific,United States,0
Road,April 2009,Overseas,Overseas,0
Air,May 2009,Atlantic Canada,Canada,"7,300"
Air,May 2009,Quebec,Canada,"2,900"
Air,May 2009,Ontario,Canada,"19,800"
Air,May 2009,Western Canada,Canada,"11,600"
Air,May 2009,New England (inc Maine),United States,800
Air,May 2009,Middle Atlantic,United States,"1,200"
Air,May 2009,East North Central,United States,500
Air,May 2009,West North Central,United States,200
Air,May 2009,South Atlantic,United States,"1,200"
Air,May 2009,East South Central,United States,200
Air,May 2009,West South Central,United States,300
Air,May 2009,Mountain,United States,300
Air,May 2009,Pacific,United States,600
Air,May 2009,United Kingdom,Overseas,900
Air,May 2009,Germany,Overseas,300
Air,May 2009,Other Europe,Overseas,600
Air,May 2009,Other Overseas,Overseas,"1,500"
Road,May 2009,Atlantic Canada,Canada,"99,200"
Road,May 2009,Quebec,Canada,"3,500"
Road,May 2009,Ontario,Canada,"12,100"
Road,May 2009,Western Canada,Canada,"1,800"
Road,May 2009,Maine (by road only),United States,"1,100"
Road,May 2009,Other New England,United States,"1,700"
Road,May 2009,Middle Atlantic,United States,"1,000"
Road,May 2009,East North Central,United States,300
Road,May 2009,West North Central,United States,100
Road,May 2009,South Atlantic,United States,800
Road,May 2009,East South Central,United States,0
Road,May 2009,West South Central,United States,100
Road,May 2009,Mountain,United States,100
Road,May 2009,Pacific,United States,100
Road,May 2009,Overseas,Overseas,0
Air,June 2009,Atlantic Canada,Canada,"5,800"
Air,June 2009,Quebec,Canada,"2,600"
Air,June 2009,Ontario,Canada,"19,400"
Air,June 2009,Western Canada,Canada,"10,500"
Air,June 2009,New England (inc Maine),United States,700
Air,June 2009,Middle Atlantic,United States,"1,200"
Air,June 2009,East North Central,United States,"1,400"
Air,June 2009,West North Central,United States,500
Air,June 2009,South Atlantic,United States,"1,700"
Air,June 2009,East South Central,United States,400
Air,June 2009,West South Central,United States,700
Air,June 2009,Mountain,United States,500
Air,June 2009,Pacific,United States,"1,100"
Air,June 2009,United Kingdom,Overseas,"2,800"
Air,June 2009,Germany,Overseas,"1,200"
Air,June 2009,Other Europe,Overseas,"1,000"
Air,June 2009,Other Overseas,Overseas,"2,100"
Road,June 2009,Atlantic Canada,Canada,"95,300"
Road,June 2009,Quebec,Canada,"5,600"
Road,June 2009,Ontario,Canada,"21,400"
Road,June 2009,Western Canada,Canada,"3,000"
Road,June 2009,Maine (by road only),United States,"1,800"
Road,June 2009,Other New England,United States,"4,700"
Road,June 2009,Middle Atlantic,United States,"2,700"
Road,June 2009,East North Central,United States,"1,000"
Road,January 2010,Overseas,Overseas,0
Road,June 2009,West North Central,United States,300
Road,June 2009,South Atlantic,United States,"2,600"
Road,June 2009,East South Central,United States,100
Road,June 2009,West South Central,United States,400
Road,June 2009,Mountain,United States,300
Road,June 2009,Pacific,United States,400
Road,June 2009,Overseas,Overseas,0
Air,July 2009,Atlantic Canada,Canada,"6,500"
Air,July 2009,Quebec,Canada,"3,600"
Air,July 2009,Ontario,Canada,"30,100"
Air,July 2009,Western Canada,Canada,"19,100"
Air,July 2009,New England (inc Maine),United States,"1,500"
Air,July 2009,Middle Atlantic,United States,"2,200"
Air,July 2009,East North Central,United States,"1,400"
Air,July 2009,West North Central,United States,700
Air,July 2009,South Atlantic,United States,"3,500"
Air,July 2009,East South Central,United States,500
Air,July 2009,West South Central,United States,"1,100"
Air,July 2009,Mountain,United States,"1,000"
Air,July 2009,Pacific,United States,"1,500"
Air,July 2009,United Kingdom,Overseas,"2,900"
Air,July 2009,Germany,Overseas,"1,600"
Air,July 2009,Other Europe,Overseas,"2,600"
Air,July 2009,Other Overseas,Overseas,"3,300"
Road,July 2009,Atlantic Canada,Canada,"131,000"
Road,July 2009,Quebec,Canada,"18,000"
Road,July 2009,Ontario,Canada,"64,000"
Road,July 2009,Western Canada,Canada,"5,400"
Road,July 2009,Maine (by road only),United States,"3,100"
Road,July 2009,Other New England,United States,"9,700"
Road,July 2009,Middle Atlantic,United States,"5,400"
Road,July 2009,East North Central,United States,"1,900"
Road,July 2009,West North Central,United States,600
Road,July 2009,South Atlantic,United States,"4,400"
Road,July 2009,East South Central,United States,300
Road,July 2009,West South Central,United States,700
Road,July 2009,Mountain,United States,500
Road,July 2009,Pacific,United States,800
Road,July 2009,Overseas,Overseas,0
Air,August 2009,Atlantic Canada,Canada,"6,100"
Air,August 2009,Quebec,Canada,"3,400"
Air,August 2009,Ontario,Canada,"35,900"
Air,August 2009,Western Canada,Canada,"24,900"
Air,August 2009,New England (inc Maine),United States,"1,200"
Air,August 2009,Middle Atlantic,United States,"2,400"
Air,August 2009,East North Central,United States,"1,200"
Air,August 2009,West North Central,United States,600
Air,August 2009,South Atlantic,United States,"3,300"
Air,August 2009,East South Central,United States,500
Air,August 2009,West South Central,United States,"1,300"
Air,August 2009,Mountain,United States,800
Air,August 2009,Pacific,United States,"2,300"
Air,August 2009,United Kingdom,Overseas,"3,800"
Air,August 2009,Germany,Overseas,"2,100"
Air,August 2009,Other Europe,Overseas,"4,500"
Air,August 2009,Other Overseas,Overseas,"4,800"
Road,August 2009,Atlantic Canada,Canada,"128,000"
Road,August 2009,Quebec,Canada,"16,100"
Road,August 2009,Ontario,Canada,"57,300"
Road,August 2009,Western Canada,Canada,"4,200"
Road,August 2009,Maine (by road only),United States,"3,100"
Road,August 2009,Other New England,United States,"10,700"
Road,August 2009,Middle Atlantic,United States,"5,800"
Road,August 2009,East North Central,United States,"2,000"
Road,August 2009,West North Central,United States,700
Road,August 2009,South Atlantic,United States,"4,000"
Road,August 2009,East South Central,United States,200
Road,August 2009,West South Central,United States,500
Road,August 2009,Mountain,United States,500
Road,August 2009,Pacific,United States,700
Road,August 2009,Overseas,Overseas,0
Air,September 2009,Atlantic Canada,Canada,"6,800"
Air,September 2009,Quebec,Canada,"2,800"
Air,September 2009,Ontario,Canada,"23,900"
Air,September 2009,Western Canada,Canada,"16,800"
Air,September 2009,New England (inc Maine),United States,"1,000"
Air,September 2009,Middle Atlantic,United States,"1,600"
Air,September 2009,East North Central,United States,"1,200"
Air,September 2009,West North Central,United States,400
Air,September 2009,South Atlantic,United States,"2,500"
Air,September 2009,East South Central,United States,300
Air,September 2009,West South Central,United States,800
Air,September 2009,Mountain,United States,800
Air,September 2009,Pacific,United States,"1,300"
Air,September 2009,United Kingdom,Overseas,"3,300"
Air,September 2009,Germany,Overseas,"2,400"
Air,September 2009,Other Europe,Overseas,"2,600"
Air,September 2009,Other Overseas,Overseas,"2,300"
Road,September 2009,Atlantic Canada,Canada,"102,500"
Road,September 2009,Quebec,Canada,"6,100"
Road,September 2009,Ontario,Canada,"26,900"
Road,September 2009,Western Canada,Canada,"3,500"
Air,March 2010,Germany,Overseas,200
Road,September 2009,Maine (by road only),United States,"2,500"
Road,September 2009,Other New England,United States,"6,600"
Road,September 2009,Middle Atlantic,United States,"4,000"
Road,September 2009,East North Central,United States,"1,600"
Road,September 2009,West North Central,United States,600
Road,September 2009,South Atlantic,United States,"3,000"
Road,September 2009,East South Central,United States,500
Road,September 2009,West South Central,United States,400
Road,September 2009,Mountain,United States,400
Road,September 2009,Pacific,United States,600
Road,September 2009,Overseas,Overseas,0
Air,October 2009,Atlantic Canada,Canada,"9,000"
Air,October 2009,Quebec,Canada,"3,200"
Air,October 2009,Ontario,Canada,"22,400"
Air,October 2009,Western Canada,Canada,"14,200"
Air,October 2009,New England (inc Maine),United States,600
Air,October 2009,Middle Atlantic,United States,800
Air,October 2009,East North Central,United States,700
Air,October 2009,West North Central,United States,400
Air,October 2009,South Atlantic,United States,"1,500"
Air,October 2009,East South Central,United States,100
Air,October 2009,West South Central,United States,600
Air,October 2009,Mountain,United States,800
Air,October 2009,Pacific,United States,"1,200"
Air,October 2009,United Kingdom,Overseas,"2,400"
Air,October 2009,Germany,Overseas,"1,500"
Air,October 2009,Other Europe,Overseas,"2,100"
Air,October 2009,Other Overseas,Overseas,"2,300"
Road,October 2009,Atlantic Canada,Canada,"98,200"
Road,October 2009,Quebec,Canada,"3,300"
Road,October 2009,Ontario,Canada,"12,400"
Road,October 2009,Western Canada,Canada,"1,700"
Road,October 2009,Maine (by road only),United States,"1,300"
Road,October 2009,Other New England,United States,"3,000"
Road,October 2009,Middle Atlantic,United States,"1,700"
Road,October 2009,East North Central,United States,800
Road,October 2009,West North Central,United States,200
Road,October 2009,South Atlantic,United States,"1,100"
Road,October 2009,East South Central,United States,100
Road,October 2009,West South Central,United States,200
Road,October 2009,Mountain,United States,300
Road,October 2009,Pacific,United States,300
Road,October 2009,Overseas,Overseas,0
Air,November 2009,Atlantic Canada,Canada,"7,900"
Air,November 2009,Quebec,Canada,"2,500"
Air,November 2009,Ontario,Canada,"14,000"
Air,November 2009,Western Canada,Canada,"3,700"
Air,November 2009,New England (inc Maine),United States,500
Air,November 2009,Middle Atlantic,United States,400
Air,November 2009,East North Central,United States,300
Air,November 2009,West North Central,United States,100
Air,November 2009,South Atlantic,United States,600
Air,November 2009,East South Central,United States,100
Air,November 2009,West South Central,United States,400
Air,November 2009,Mountain,United States,200
Air,November 2009,Pacific,United States,400
Air,November 2009,United Kingdom,Overseas,500
Air,November 2009,Germany,Overseas,200
Air,November 2009,Other Europe,Overseas,"1,000"
Air,November 2009,Other Overseas,Overseas,800
Road,November 2009,Atlantic Canada,Canada,"77,300"
Road,November 2009,Quebec,Canada,"1,400"
Road,November 2009,Ontario,Canada,"5,400"
Road,November 2009,Western Canada,Canada,600
Road,November 2009,Maine (by road only),United States,500
Road,November 2009,Other New England,United States,900
Road,November 2009,Middle Atlantic,United States,300
Road,November 2009,East North Central,United States,100
Road,November 2009,West North Central,United States,0
Road,November 2009,South Atlantic,United States,100
Road,November 2009,East South Central,United States,0
Road,November 2009,West South Central,United States,0
Road,November 2009,Mountain,United States,100
Road,November 2009,Pacific,United States,0
Road,November 2009,Overseas,Overseas,0
Air,December 2009,Atlantic Canada,Canada,"5,300"
Air,December 2009,Quebec,Canada,"2,400"
Air,December 2009,Ontario,Canada,"11,000"
Air,December 2009,Western Canada,Canada,"3,700"
Air,December 2009,New England (inc Maine),United States,400
Air,December 2009,Middle Atlantic,United States,400
Air,December 2009,East North Central,United States,300
Air,December 2009,West North Central,United States,100
Air,December 2009,South Atlantic,United States,500
Air,December 2009,East South Central,United States,100
Air,December 2009,West South Central,United States,400
Air,December 2009,Mountain,United States,200
Air,December 2009,Pacific,United States,300
Air,December 2009,United Kingdom,Overseas,400
Air,December 2009,Germany,Overseas,300
Air,December 2009,Other Europe,Overseas,600
Air,December 2009,Other Overseas,Overseas,"1,200"
Road,December 2009,Atlantic Canada,Canada,"70,100"
Road,December 2009,Quebec,Canada,"1,200"
Road,December 2009,Ontario,Canada,"5,100"
Road,December 2009,Western Canada,Canada,400
Road,December 2009,Maine (by road only),United States,300
Road,December 2009,Other New England,United States,800
Road,December 2009,Middle Atlantic,United States,300
Road,December 2009,East North Central,United States,100
Road,December 2009,West North Central,United States,0
Road,December 2009,South Atlantic,United States,100
Road,December 2009,East South Central,United States,0
Road,December 2009,West South Central,United States,0
Road,December 2009,Mountain,United States,0
Road,December 2009,Pacific,United States,0
Road,December 2009,Overseas,Overseas,0
Air,January 2010,Atlantic Canada,Canada,"5,800"
Air,January 2010,Quebec,Canada,"1,900"
Air,January 2010,Ontario,Canada,"12,200"
Air,January 2010,Western Canada,Canada,"5,400"
Air,January 2010,New England (inc Maine),United States,600
Air,January 2010,Middle Atlantic,United States,400
Air,January 2010,East North Central,United States,300
Air,January 2010,West North Central,United States,200
Air,January 2010,South Atlantic,United States,600
Air,January 2010,East South Central,United States,100
Air,January 2010,West South Central,United States,200
Air,January 2010,Mountain,United States,100
Air,January 2010,Pacific,United States,400
Air,January 2010,United Kingdom,Overseas,900
Air,January 2010,Germany,Overseas,500
Air,January 2010,Other Europe,Overseas,600
Air,January 2010,Other Overseas,Overseas,"1,400"
Road,January 2010,Atlantic Canada,Canada,"51,400"
Road,January 2010,Quebec,Canada,700
Road,January 2010,Ontario,Canada,"2,200"
Road,January 2010,Western Canada,Canada,200
Road,January 2010,Maine (by road only),United States,200
Road,January 2010,Other New England,United States,400
Road,January 2010,Middle Atlantic,United States,100
Road,January 2010,East North Central,United States,0
Road,January 2010,West North Central,United States,0
Road,January 2010,South Atlantic,United States,100
Road,January 2010,East South Central,United States,0
Road,January 2010,West South Central,United States,0
Road,January 2010,Mountain,United States,0
Road,January 2010,Pacific,United States,0
Air,February 2010,Atlantic Canada,Canada,"7,000"
Air,February 2010,Quebec,Canada,"2,000"
Air,February 2010,Ontario,Canada,"11,000"
Air,February 2010,Western Canada,Canada,"4,100"
Air,February 2010,New England (inc Maine),United States,600
Air,February 2010,Middle Atlantic,United States,400
Air,February 2010,East North Central,United States,200
Air,February 2010,West North Central,United States,100
Air,February 2010,South Atlantic,United States,500
Air,February 2010,East South Central,United States,0
Air,February 2010,West South Central,United States,100
Air,February 2010,Mountain,United States,0
Air,February 2010,Pacific,United States,200
Air,February 2010,United Kingdom,Overseas,400
Air,February 2010,Germany,Overseas,200
Air,February 2010,Other Europe,Overseas,300
Air,February 2010,Other Overseas,Overseas,400
Road,February 2010,Atlantic Canada,Canada,"52,800"
Road,February 2010,Quebec,Canada,800
Road,February 2010,Ontario,Canada,"2,200"
Road,February 2010,Western Canada,Canada,200
Road,February 2010,Maine (by road only),United States,300
Road,February 2010,Other New England,United States,400
Road,February 2010,Middle Atlantic,United States,100
Road,February 2010,East North Central,United States,0
Road,February 2010,West North Central,United States,0
Road,February 2010,South Atlantic,United States,100
Road,February 2010,East South Central,United States,0
Road,February 2010,West South Central,United States,0
Road,February 2010,Mountain,United States,0
Road,February 2010,Pacific,United States,0
Road,February 2010,Overseas,Overseas,0
Air,March 2010,Atlantic Canada,Canada,"7,700"
Air,March 2010,Quebec,Canada,"2,300"
Air,March 2010,Ontario,Canada,"12,000"
Air,March 2010,Western Canada,Canada,"4,200"
Air,March 2010,New England (inc Maine),United States,300
Air,March 2010,Middle Atlantic,United States,200
Air,March 2010,East North Central,United States,200
Air,March 2010,West North Central,United States,100
