Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,May 2006,Other New England,United States,"2,200"
Road,May 2006,Middle Atlantic,United States,"1,200"
Road,May 2006,East North Central,United States,500
Road,May 2006,West North Central,United States,200
Road,May 2006,South Atlantic,United States,900
Road,May 2006,East South Central,United States,100
Road,May 2006,West South Central,United States,200
Road,May 2006,Mountain,United States,200
Road,May 2006,Pacific,United States,200
Road,May 2006,Overseas,Overseas,0
Air,June 2006,Atlantic Canada,Canada,"7,200"
Air,June 2006,Quebec,Canada,"4,600"
Air,June 2006,Ontario,Canada,"20,100"
Air,June 2006,Western Canada,Canada,"10,300"
Air,June 2006,New England (inc Maine),United States,900
Air,June 2006,Middle Atlantic,United States,"1,500"
Air,June 2006,East North Central,United States,"1,000"
Air,June 2006,West North Central,United States,400
Air,June 2006,South Atlantic,United States,"2,700"
Air,June 2006,East South Central,United States,400
Air,June 2006,West South Central,United States,"1,200"
Air,June 2006,Mountain,United States,800
Air,June 2006,Pacific,United States,900
Air,June 2006,United Kingdom,Overseas,"2,600"
Air,June 2006,Germany,Overseas,"1,200"
Air,June 2006,Other Europe,Overseas,"1,400"
Air,June 2006,Other Overseas,Overseas,"1,700"
Road,June 2006,Atlantic Canada,Canada,"95,500"
Road,June 2006,Quebec,Canada,"5,800"
Road,June 2006,Ontario,Canada,"17,500"
Road,June 2006,Western Canada,Canada,"2,200"
Road,June 2006,Maine (by road only),United States,"2,100"
Road,June 2006,Other New England,United States,"5,800"
Road,June 2006,Middle Atlantic,United States,"4,000"
Air,November 2006,Ontario,Canada,"13,900"
Road,June 2006,East North Central,United States,"1,500"
Road,June 2006,West North Central,United States,500
Road,June 2006,South Atlantic,United States,"3,100"
Road,June 2006,East South Central,United States,500
Road,June 2006,West South Central,United States,600
Road,June 2006,Mountain,United States,600
Road,June 2006,Pacific,United States,900
Road,June 2006,Overseas,Overseas,0
Air,July 2006,Atlantic Canada,Canada,"6,000"
Air,July 2006,Quebec,Canada,"3,800"
Air,July 2006,Ontario,Canada,"28,300"
Air,July 2006,Western Canada,Canada,"14,000"
Air,July 2006,New England (inc Maine),United States,"2,300"
Air,July 2006,Middle Atlantic,United States,"2,300"
Air,July 2006,East North Central,United States,"2,100"
Air,July 2006,West North Central,United States,600
Air,July 2006,South Atlantic,United States,"4,400"
Air,July 2006,East South Central,United States,700
Air,July 2006,West South Central,United States,"1,300"
Air,July 2006,Mountain,United States,900
Air,July 2006,Pacific,United States,"2,600"
Air,July 2006,United Kingdom,Overseas,"4,000"
Air,July 2006,Germany,Overseas,"2,700"
Air,July 2006,Other Europe,Overseas,"2,500"
Air,July 2006,Other Overseas,Overseas,"2,300"
Road,July 2006,Atlantic Canada,Canada,"109,800"
Road,July 2006,Quebec,Canada,"16,100"
Road,July 2006,Ontario,Canada,"48,200"
Road,July 2006,Western Canada,Canada,"4,500"
Road,July 2006,Maine (by road only),United States,"3,700"
Road,July 2006,Other New England,United States,"12,000"
Road,July 2006,Middle Atlantic,United States,"7,500"
Road,July 2006,East North Central,United States,"2,800"
Road,July 2006,West North Central,United States,"1,100"
Road,July 2006,South Atlantic,United States,"5,300"
Road,July 2006,East South Central,United States,"1,000"
Road,July 2006,West South Central,United States,"1,600"
Road,July 2006,Mountain,United States,"1,300"
Road,July 2006,Pacific,United States,"1,800"
